
[02:21:20.000 --> 02:21:21.000]   >> Thank you.
[02:43:39.400 --> 02:43:42.700]   So I hope to see you there and I think all our volunteers
[02:43:42.700 --> 02:43:43.400]   for doing that.
[02:43:43.400 --> 02:43:48.700]   Of course while happening over at Boulevard High School our
[02:43:48.700 --> 02:43:52.800]   associated student body went on this Orange County leadership
[02:43:52.800 --> 02:43:55.900]   expedition to University of California Santa Barbara.
[02:43:56.200 --> 02:43:57.000]   It's a lot of fun.
[02:43:57.000 --> 02:44:00.100]   I've been a part of this in my four years and I never once
[02:44:00.100 --> 02:44:02.500]   but I've seen plenty of videos and my friends have sent me
[02:44:02.500 --> 02:44:05.200]   and I know for a fact that I'm definitely missing out.
[02:44:05.200 --> 02:44:08.500]   So I wanted to do that in this past week and also next Monday
[02:44:08.500 --> 02:44:10.200]   we have registration.
[02:44:10.200 --> 02:44:13.700]   This is an opportunity for students to really familiarize
[02:44:13.700 --> 02:44:18.200]   themselves with the campus which unfortunately is due to close
[02:44:18.200 --> 02:44:21.500]   out to a lot of construction right and you can pass by
[02:44:21.500 --> 02:44:24.700]   and the sound of the campus is not totally wide and kind of
[02:44:24.700 --> 02:44:28.100]   resembles a lot of the science building and also the measure
[02:44:28.100 --> 02:44:31.400]   space to building as well but also in Registration Week
[02:44:31.400 --> 02:44:34.100]   there's an opportunity for sports and also student
[02:44:34.100 --> 02:44:37.500]   organizations to present themselves and gather new members
[02:44:37.500 --> 02:44:40.500]   my club and our club with that as well.
[02:44:40.500 --> 02:44:41.600]   We've got a bunch of candies.
[02:44:41.600 --> 02:44:44.000]   Hey come join our club and the quid pro quo.
[02:44:44.000 --> 02:44:46.200]   I guess gets to add on to that.
[02:44:46.200 --> 02:44:49.800]   We also have a new assistant principal and special education.
[02:44:49.800 --> 02:44:53.600]   Mr. Scott Suka who's been with the district for 10 almost
[02:44:53.600 --> 02:44:55.100]   two to three decades.
[02:44:55.100 --> 02:44:59.200]   And it was also the CTE coordinator at Willow Park High
[02:44:59.200 --> 02:45:03.200]   School and also as a part-time government economics teacher
[02:45:03.200 --> 02:45:03.800]   as well.
[02:45:03.800 --> 02:45:06.400]   So that's all Billow Park High School and looking forward
[02:45:06.400 --> 02:45:09.000]   to report for the next right now the following school year.
[02:45:09.000 --> 02:45:09.500]   Thank you.
[02:45:09.500 --> 02:45:10.900]   Thank you Mr. Chair.
[02:45:10.900 --> 02:45:15.300]   Item five approval of the minutes.
[02:45:15.300 --> 02:45:18.700]   We have two different board meetings.
[02:45:18.700 --> 02:45:21.200]   Would you like to take them both together or separately.
[02:45:22.100 --> 02:45:24.700]   I've got a correction on June 26.
[02:45:24.700 --> 02:45:25.200]   Okay.
[02:45:25.200 --> 02:45:31.100]   But it says we appointed Bob Kim it should say Bob King.
[02:45:31.100 --> 02:45:32.200]   Oh you already did that.
[02:45:32.200 --> 02:45:32.600]   Okay.
[02:45:32.600 --> 02:45:34.400]   I missed the vote on that.
[02:45:34.400 --> 02:45:34.800]   Sorry.
[02:45:34.800 --> 02:45:38.800]   Should you take them separately since we were not at the time.
[02:45:38.800 --> 02:45:45.800]   So the first one that correction was already made.
[02:45:45.900 --> 02:45:46.300]   Okay.
[02:45:46.300 --> 02:45:58.900]   I think we should approve it with the correction.
[02:45:58.900 --> 02:46:02.600]   Okay Trustee Erickson would you like to make the motion.
[02:46:02.600 --> 02:46:06.100]   Yes I will move it with the correction to change the name
[02:46:06.100 --> 02:46:11.500]   to Kim from Kim to King on item C. Okay.
[02:46:11.500 --> 02:46:12.300]   Is there a second?
[02:46:13.900 --> 02:46:15.800]   Thank you I need additional discussion.
[02:46:15.800 --> 02:46:18.100]   All in favor.
[02:46:18.100 --> 02:46:22.000]   All right motion passes seven zero.
[02:46:22.000 --> 02:46:27.700]   Five B approval of the minutes July 18th 2024 is our motion
[02:46:27.700 --> 02:46:30.700]   or you had additional comments or questions.
[02:46:30.700 --> 02:46:39.000]   Thank you I was looking at item 8A and I know we don't go into
[02:46:39.000 --> 02:46:42.800]   great detail with minutes but I was wondering if board would
[02:46:42.800 --> 02:46:45.000]   be willing to add a sentence.
[02:46:45.000 --> 02:46:54.700]   Where it says Miss Moscarinas from PBK presented the item
[02:46:54.700 --> 02:46:59.700]   and I wanted to add centered on the escalation of project cost
[02:46:59.700 --> 02:47:10.100]   estimate to $19,829,185 from $15,891,204.
[02:47:10.400 --> 02:47:20.600]   I just wanted to include what the discussion was and those
[02:47:20.600 --> 02:47:23.900]   amounts in case anybody wants to review those minutes.
[02:47:23.900 --> 02:47:28.300]   I think that would be relevant and we did talk about it.
[02:47:28.300 --> 02:47:37.100]   This was what was on our agenda item cost estimate on our
[02:47:37.100 --> 02:47:45.300]   agenda item was $19,829,185 and the original estimation was
[02:47:45.300 --> 02:47:50.000]   $15,891,204.
[02:47:50.000 --> 02:47:55.700]   Okay, so would you like to make a motion with that addition?
[02:47:55.700 --> 02:47:56.700]   I would.
[02:47:56.700 --> 02:48:01.500]   I would like to make a motion to amend the minutes so that
[02:48:01.500 --> 02:48:10.200]   after Ms. Moscarinas from PBK presented the item, centered on
[02:48:10.200 --> 02:48:19.700]   the escalation of project cost estimate to $19,829,185 from
[02:48:19.700 --> 02:48:24.700]   $15,891,204 period.
[02:48:25.600 --> 02:48:30.600]   Second, Trustee probably seconds.
[02:48:30.600 --> 02:48:32.300]   Any additional discussion?
[02:48:32.300 --> 02:48:36.000]   Yeah, I do have just a question with that.
[02:48:36.000 --> 02:48:40.000]   Is there precedent to refer back to the notes and update
[02:48:40.000 --> 02:48:43.700]   the original cost and the new cost with escalation?
[02:48:43.700 --> 02:48:46.300]   Because it just, it seems interesting to me that we're
[02:48:46.300 --> 02:48:48.800]   making that move when there is, I'm just asking,
[02:48:48.800 --> 02:48:51.700]   was precedent to let that occur?
[02:48:53.800 --> 02:48:57.800]   I believe she's adding documentation to what was
[02:48:57.800 --> 02:48:59.000]   discussed at that meeting.
[02:48:59.000 --> 02:49:01.800]   So it's just adding clarification and details.
[02:49:01.800 --> 02:49:06.800]   Yeah, and I was probably saying, you know, yes and no.
[02:49:06.800 --> 02:49:11.100]   I think when we look at minutes, you know, from our meetings
[02:49:11.100 --> 02:49:17.300]   that we tend to summarize, you know, what it's about.
[02:49:17.300 --> 02:49:20.100]   So there are times in which it doesn't say exactly word for
[02:49:20.100 --> 02:49:21.100]   word what's there.
[02:49:21.400 --> 02:49:25.500]   So I think if there's interest by the board to change something,
[02:49:25.500 --> 02:49:28.000]   the numbers we can check.
[02:49:28.000 --> 02:49:36.100]   So, you know, but in terms of making a better summary of what
[02:49:36.100 --> 02:49:39.400]   occurred, I think that there's no issue there in terms of
[02:49:39.400 --> 02:49:42.100]   if the board wanted to do that because we don't, you know,
[02:49:42.100 --> 02:49:45.200]   go through and kind of say what every single person said along
[02:49:45.200 --> 02:49:47.200]   the way, we just kind of make that general summary.
[02:49:47.200 --> 02:49:50.700]   If the board feels like they want to make that better or
[02:49:50.700 --> 02:49:52.400]   change that, then it's still a summary.
[02:49:52.400 --> 02:49:55.200]   Within their overview.
[02:49:55.200 --> 02:49:57.500]   Absolutely.
[02:49:57.500 --> 02:50:01.200]   It's just, it seems to me that from the last presentation,
[02:50:01.200 --> 02:50:04.200]   what's pertinent or germane to that presentation wasn't exactly
[02:50:04.200 --> 02:50:07.000]   the original cost, but was the uptickets right?
[02:50:07.000 --> 02:50:10.100]   If anybody or the board wants to revert back to the original
[02:50:10.100 --> 02:50:12.200]   cost of the pool, they could easily look back.
[02:50:12.200 --> 02:50:15.300]   I believe it was, you know, the reverend meeting that gave
[02:50:15.300 --> 02:50:17.300]   that $15 million dollar estimation.
[02:50:17.300 --> 02:50:20.000]   So it just seems kind of off to me that we're adding that
[02:50:20.000 --> 02:50:23.300]   when there's public record to that $15 million project,
[02:50:23.300 --> 02:50:26.300]   the intent of the presentation last meeting was to update
[02:50:26.300 --> 02:50:29.000]   the $4 million cost that suddenly arisen, right?
[02:50:29.000 --> 02:50:33.400]   So just that was intent and I would assume that was intent
[02:50:33.400 --> 02:50:35.700]   of the presentation, not the original cost.
[02:50:35.700 --> 02:50:39.000]   So it just seems to me that that move here is a little bit
[02:50:39.000 --> 02:50:42.200]   of a political play and intention to, you know,
[02:50:42.200 --> 02:50:44.500]   present to the public that, hey, this is a, you know,
[02:50:44.500 --> 02:50:47.900]   originally $15 million pool, now it's $19 million pool.
[02:50:48.300 --> 02:50:53.000]   And because of that, I guess, you know, that's all I have to
[02:50:53.000 --> 02:50:53.600]   say, thank you.
[02:50:53.600 --> 02:50:57.200]   Well, I think just to be clear, I did say the cost estimate,
[02:50:57.200 --> 02:51:00.800]   the escalation of project cost estimate and then I'm just
[02:51:00.800 --> 02:51:02.500]   including the actual numbers.
[02:51:02.500 --> 02:51:05.400]   If we wanted to include the original cost estimate of $25
[02:51:05.400 --> 02:51:07.500]   million dollars, we could probably do that too.
[02:51:07.500 --> 02:51:11.300]   But I think this would probably be sufficient to give the
[02:51:11.300 --> 02:51:14.700]   reader a better idea of what it was that we were discussing.
[02:51:14.700 --> 02:51:17.800]   I believe the $25 million dollar estimation was with
[02:51:17.800 --> 02:51:20.600]   another, the architect or another contractor, I believe.
[02:51:20.600 --> 02:51:24.000]   I believe that you wise stick with the current contractor,
[02:51:24.000 --> 02:51:24.200]   right?
[02:51:24.200 --> 02:51:27.200]   But again, there's just public records state that there's
[02:51:27.200 --> 02:51:31.000]   a $15 million original estimation of this.
[02:51:31.000 --> 02:51:35.000]   And if they're interested in revisiting that number, you
[02:51:35.000 --> 02:51:37.800]   can easily look back at the documentation that we previously
[02:51:37.800 --> 02:51:38.700]   can currently have.
[02:51:38.700 --> 02:51:41.600]   So, board president, we were able to check the board
[02:51:41.600 --> 02:51:42.300]   presentation.
[02:51:42.300 --> 02:51:44.400]   It looks like that those numbers are correct.
[02:51:44.600 --> 02:51:46.600]   So, I believe you have a motion.
[02:51:46.600 --> 02:51:49.000]   You have a motion and you have a second.
[02:51:49.000 --> 02:51:52.500]   And I think the board has had an opportunity to discuss.
[02:51:52.500 --> 02:51:55.100]   I would just like to add that.
[02:51:55.100 --> 02:51:59.000]   I think it was done in transparency purposes.
[02:51:59.000 --> 02:52:00.800]   There's nothing that we're trying to hide.
[02:52:00.800 --> 02:52:03.500]   Yes, certainly someone can go look up this information,
[02:52:03.500 --> 02:52:06.300]   but why not put it out there because it's transparent.
[02:52:06.300 --> 02:52:06.800]   That's it.
[02:52:11.800 --> 02:52:16.100]   And to address your question squarely, is there a precedent
[02:52:16.100 --> 02:52:16.600]   for it?
[02:52:16.600 --> 02:52:19.000]   No, there's not a precedent for it.
[02:52:19.000 --> 02:52:23.800]   And in the interest of being transparent, it's probably wise
[02:52:23.800 --> 02:52:28.300]   to do it because the idea of an update is to also add the amount.
[02:52:28.300 --> 02:52:31.700]   I think that you, I can't have one without the other in my opinion.
[02:52:31.700 --> 02:52:35.000]   So, I think that reasonably speaking, you got to get a question.
[02:52:35.000 --> 02:52:38.700]   And at the same time, I think it's important to note for the
[02:52:38.700 --> 02:52:41.000]   public that this was the update.
[02:52:41.500 --> 02:52:46.100]   Without the actual amount that was escalated, then there's no
[02:52:46.100 --> 02:52:47.000]   purpose for the update.
[02:52:47.000 --> 02:52:49.900]   You know what I'm saying?
[02:52:49.900 --> 02:52:51.400]   But why would we even talk about it?
[02:52:51.400 --> 02:52:52.200]   Absolutely.
[02:52:52.200 --> 02:52:55.400]   But I mean, I, again, you make great point about transparency,
[02:52:55.400 --> 02:52:58.400]   but it seemed like we're, you know, hiding the original numbers,
[02:52:58.400 --> 02:52:58.600]   right?
[02:52:58.600 --> 02:53:00.500]   The numbers were already there.
[02:53:00.500 --> 02:53:03.600]   The public could easily revisit the documentations and find
[02:53:03.600 --> 02:53:06.500]   that the original cost was $15 billion.
[02:53:06.500 --> 02:53:10.500]   What seems to be here that to add that on the meeting notes is
[02:53:10.800 --> 02:53:12.900]   a little bit of political play about to play with us because
[02:53:12.900 --> 02:53:15.600]   again, transparency, the transparency is there.
[02:53:15.600 --> 02:53:24.800]   All in favor.
[02:53:24.800 --> 02:53:32.700]   We have five ayes, which means two abstentions or absence.
[02:53:34.700 --> 02:53:42.800]   Question carries. Thank you. Six eight public comment.
[02:53:42.800 --> 02:53:44.000]   Trustee Erickson.
[02:53:44.000 --> 02:53:52.800]   Yes, we have one public comment on an agenda item and then
[02:53:52.800 --> 02:53:58.000]   we have six public comments on non-agenda.
[02:53:58.000 --> 02:54:04.000]   So persons wishing to speak should submit a public comment
[02:54:04.000 --> 02:54:05.100]   as part of the meeting.
[02:54:05.100 --> 02:54:07.800]   In general, individual speakers will be allowed three minutes
[02:54:07.800 --> 02:54:10.200]   to address the board on each agenda or non-agenda item.
[02:54:10.200 --> 02:54:12.800]   The board shall limit the total time for public input on each
[02:54:12.800 --> 02:54:13.900]   item to 30 minutes.
[02:54:13.900 --> 02:54:16.700]   The speaker shall not yield to another person in any portion
[02:54:16.700 --> 02:54:18.700]   of the time allotted to the murder to speak.
[02:54:18.700 --> 02:54:23.000]   The total amount for agenda items and non-agenda items at regular
[02:54:23.000 --> 02:54:24.300]   meetings shall be 30 minutes.
[02:54:24.300 --> 02:54:27.700]   The time allowed for those who may request to speak shall be
[02:54:27.700 --> 02:54:28.400]   as followed.
[02:54:28.400 --> 02:54:30.900]   And I'm just going to read in this case one to 10 speakers
[02:54:30.900 --> 02:54:32.700]   will each be allowed three minutes.
[02:54:32.700 --> 02:54:35.700]   So since we only have one speaker, it will be a lot of three
[02:54:35.700 --> 02:54:36.300]   minutes.
[02:54:36.300 --> 02:54:41.100]   The number of speakers to any agenda or non-agenda item will
[02:54:41.100 --> 02:54:44.300]   be determined just prior to the time that item is considered
[02:54:44.300 --> 02:54:47.100]   and speakers must be present to be counted in the total district
[02:54:47.100 --> 02:54:49.400]   students who have presented a request to speak will be allowed
[02:54:49.400 --> 02:54:53.100]   to speak before other individuals who have also requested to
[02:54:53.100 --> 02:54:56.200]   speak individual speaking time may not be reduced to less than
[02:54:56.200 --> 02:54:56.800]   one minute.
[02:54:56.800 --> 02:55:00.600]   Those presented with us to speak but could not be accommodated
[02:55:00.600 --> 02:55:04.700]   within the allotted time will be allowed one minute each.
[02:55:04.700 --> 02:55:08.500]   So the only thing is we do have some students on non-agenda
[02:55:08.500 --> 02:55:08.800]   items.
[02:55:08.800 --> 02:55:11.200]   So I don't know if the board would like to take the three
[02:55:11.200 --> 02:55:14.400]   students now or if we just want to wait to item 17.
[02:55:14.400 --> 02:55:18.800]   So the way our bylaw reads is that they would go first when
[02:55:18.800 --> 02:55:19.900]   you take up the item.
[02:55:19.900 --> 02:55:22.600]   So really that would be at 17.
[02:55:22.600 --> 02:55:25.900]   However, at the board's discretion, they can choose to
[02:55:25.900 --> 02:55:30.000]   hear in a public comment at a different time.
[02:55:30.300 --> 02:55:31.400]   So we have a short meeting.
[02:55:31.400 --> 02:55:34.000]   We can just continue on with our agenda.
[02:55:34.000 --> 02:55:36.000]   Okay.
[02:55:36.000 --> 02:55:38.500]   And then our speakers ask to item 8c.
[02:55:38.500 --> 02:55:39.700]   So it's not quite yet.
[02:55:39.700 --> 02:55:40.600]   7c.
[02:55:40.600 --> 02:55:41.300]   8c.
[02:55:41.300 --> 02:55:42.100]   Okay.
[02:55:42.100 --> 02:55:42.400]   Yeah.
[02:55:42.400 --> 02:55:43.000]   Thank you.
[02:55:43.000 --> 02:55:43.600]   All right.
[02:55:43.600 --> 02:55:47.300]   7a employment agreement for interim assistant superintendent
[02:55:47.300 --> 02:55:48.500]   educational services.
[02:55:48.500 --> 02:55:49.700]   Mr. Gonzalez.
[02:55:49.700 --> 02:55:50.400]   Thank you.
[02:55:50.400 --> 02:55:54.800]   At our last meeting, the board appointed and Truick's to interim
[02:55:54.800 --> 02:55:57.400]   assistant superintendent of educational services.
[02:55:57.400 --> 02:55:58.300]   She's right over here.
[02:55:59.100 --> 02:56:07.000]   This item is this item is to approve the employment agreement.
[02:56:07.000 --> 02:56:10.000]   So it is recommended that the board of education approve the
[02:56:10.000 --> 02:56:12.900]   employment agreement for the interim assistant superintendent
[02:56:12.900 --> 02:56:18.700]   of educational services effective July 22nd 2024 and continuing
[02:56:18.700 --> 02:56:22.300]   until the new assistant superintendent educational
[02:56:22.300 --> 02:56:27.500]   services is appointed and reports to duty and disappointment
[02:56:27.500 --> 02:56:33.300]   is at a range of 170 of the option C leadership based salary
[02:56:33.300 --> 02:56:37.900]   schedule and authorized and we would like to authorize the
[02:56:37.900 --> 02:56:41.400]   president and clerk of the board of education to sign the
[02:56:41.400 --> 02:56:43.600]   agreement of employment on behalf of the board.
[02:56:43.600 --> 02:56:45.900]   Thank you.
[02:56:45.900 --> 02:56:48.800]   Is there a motion on the recommended recommendations?
[02:56:48.800 --> 02:56:50.900]   Thank you.
[02:56:50.900 --> 02:56:55.500]   Trustee Erickson, any discussion or comments?
[02:56:56.900 --> 02:56:57.800]   All in favor?
[02:56:57.800 --> 02:57:00.100]   Okay.
[02:57:00.100 --> 02:57:01.500]   Motion passes 7-0.
[02:57:01.500 --> 02:57:02.500]   Congratulations.
[02:57:02.500 --> 02:57:10.400]   That is the declaration of possible need for fully qualified
[02:57:10.400 --> 02:57:13.400]   educators required annual report.
[02:57:13.400 --> 02:57:19.800]   All right.
[02:57:19.800 --> 02:57:22.200]   Good evening, President Page, members of the board,
[02:57:22.200 --> 02:57:24.600]   Superintendent Gonzalez, Cabinet and community.
[02:57:25.100 --> 02:57:28.500]   This evening we have a revised declaration of possible need
[02:57:28.500 --> 02:57:31.900]   for fully qualified educators required annual report on the
[02:57:31.900 --> 02:57:33.000]   agenda for approval.
[02:57:33.000 --> 02:57:36.200]   The California Commission on Teacher Credentialing pursuant
[02:57:36.200 --> 02:57:40.600]   to Title V Section 80026 of the California Code of Regulations
[02:57:40.600 --> 02:57:43.700]   requires school districts to file with the commission an
[02:57:43.700 --> 02:57:47.000]   annual declaration of need for fully qualified educators as
[02:57:47.000 --> 02:57:50.600]   a prerequisite to the commission's issuance of an emergency
[02:57:50.600 --> 02:57:53.000]   or limited assignment permits for employees.
[02:57:53.700 --> 02:57:56.100]   In response to this requirement, a declaration of need for
[02:57:56.100 --> 02:57:59.800]   2024-2025 school year was approved by the board at the
[02:57:59.800 --> 02:58:00.800]   March 4 meeting.
[02:58:00.800 --> 02:58:04.600]   The revised declaration of need is required to account for
[02:58:04.600 --> 02:58:08.200]   the increased hiring of visual and performing arts and dual
[02:58:08.200 --> 02:58:12.500]   language immersion educators expected for the 2024-2025
[02:58:12.500 --> 02:58:13.000]   school year.
[02:58:13.000 --> 02:58:16.100]   The declaration of need may be further revised at a later
[02:58:16.100 --> 02:58:18.700]   date based upon actual usage or need.
[02:58:18.700 --> 02:58:22.000]   So tonight I recommended that the Board of Education approve
[02:58:22.000 --> 02:58:25.500]   the declaration of need for 2024-2025 school year.
[02:58:25.500 --> 02:58:28.500]   In simple terms, it helps provide flexibility when it comes
[02:58:28.500 --> 02:58:30.100]   to hiring employees first year.
[02:58:30.100 --> 02:58:33.800]   Thank you, Ms. Nid.
[02:58:33.800 --> 02:58:35.700]   Is there a motion?
[02:58:35.700 --> 02:58:39.300]   Thank you, Trustee Renzi.
[02:58:39.300 --> 02:58:43.000]   Trustee Pele will second.
[02:58:43.000 --> 02:58:46.600]   Any discussion or comments?
[02:58:46.600 --> 02:58:49.900]   All in favor?
[02:58:50.400 --> 02:58:50.900]   Aye.
[02:58:50.900 --> 02:58:53.300]   Any opposed?
[02:58:53.300 --> 02:58:57.700]   So, motion passes 601.
[02:58:57.700 --> 02:58:59.500]   Thank you.
[02:58:59.500 --> 02:59:00.700]   Thank you.
[02:59:00.700 --> 02:59:06.900]   Okay, item A45, day budget revised report.
[02:59:06.900 --> 02:59:18.200]   Ms. Holgen will present on this item with Ms. Balsara.
[02:59:18.200 --> 02:59:19.200]   Thank you.
[02:59:19.200 --> 02:59:19.700]   Thank you.
[02:59:19.700 --> 02:59:28.600]   Thank you, Superintendent Gonzalez.
[02:59:28.600 --> 02:59:31.100]   Good evening, Madam President, distinguished board members,
[02:59:31.100 --> 02:59:33.800]   Superintendent Gonzalez, cabinet members, and community
[02:59:33.800 --> 02:59:37.100]   partners with us here tonight and those joining us virtually.
[02:59:37.100 --> 02:59:41.900]   Tonight in collaboration with our Executive Director of
[02:59:41.900 --> 02:59:45.300]   Business Services, Meg Nabil-Sara, we are here to provide
[02:59:45.300 --> 02:59:49.000]   the Board with a presentation regarding the 45-day revised
[02:59:49.000 --> 02:59:53.200]   report requirements, updates for the 24-25 enacted budget,
[02:59:53.200 --> 02:59:54.500]   and next steps.
[02:59:54.500 --> 02:59:56.200]   I will now hand it over to Meg.
[02:59:56.200 --> 03:00:01.400]   Thank you, Ms. Holgen.
[03:00:01.400 --> 03:00:05.900]   So, good evening, everyone.
[03:00:05.900 --> 03:00:10.000]   Now, good evening, board members, Superintendent Gonzalez,
[03:00:10.000 --> 03:00:13.300]   cabinet members, and community members and colleagues present
[03:00:13.300 --> 03:00:15.000]   here and watching online.
[03:00:16.300 --> 03:00:22.800]   So, per code section 42127, when Governor adopts the budget
[03:00:22.800 --> 03:00:27.500]   in July, then, sorry, when Governor adopts the budget
[03:00:27.500 --> 03:00:32.300]   in July, then school districts are required to present those
[03:00:32.300 --> 03:00:36.800]   budget changes to public and board review within 45 days,
[03:00:36.800 --> 03:00:39.500]   and that was on August 12th.
[03:00:39.500 --> 03:00:45.000]   So, we presented, we actually provided those information
[03:00:45.000 --> 03:00:48.900]   online for public's view, and there is no requirement
[03:00:48.900 --> 03:00:51.700]   to prepare the, you know, SAC's report or the full budget
[03:00:51.700 --> 03:00:54.400]   report at this time for 45-day revised.
[03:00:54.400 --> 03:00:57.500]   So, it's just the data that we are going to show you
[03:00:57.500 --> 03:00:59.000]   the change in the budget.
[03:00:59.000 --> 03:01:05.900]   As the board may recall that in the, when the board approved
[03:01:05.900 --> 03:01:09.700]   the budget in June, it was based on the January budget
[03:01:09.700 --> 03:01:14.200]   proposal, and since then, the state enacted the budget
[03:01:14.200 --> 03:01:19.700]   with the slightly higher COLA for 20-25 and 25-26 year,
[03:01:19.700 --> 03:01:23.600]   and there is a slight decline in COLA for 26-27 year.
[03:01:23.600 --> 03:01:27.100]   Overall, combining three years, our districts is going
[03:01:27.100 --> 03:01:33.300]   to expect to have a higher revenue by over $4 million
[03:01:33.300 --> 03:01:39.800]   for three years, and just for 20-25 or $1 million.
[03:01:39.800 --> 03:01:42.500]   And with that, I'm going to hand it over to Ms. Hogan.
[03:01:43.500 --> 03:01:47.500]   >> Thank you, Ms. Bolzara.
[03:01:47.500 --> 03:01:50.600]   So, school services, every July does an enacted budget
[03:01:50.600 --> 03:01:54.000]   workshop in which they share key slides that as a fiscal
[03:01:54.000 --> 03:01:56.600]   team, we believe are worthy of sharing with the board
[03:01:56.600 --> 03:01:59.600]   and the public, especially since the budget is considered
[03:01:59.600 --> 03:02:03.000]   fluid and at any time may change based on the economic
[03:02:03.000 --> 03:02:04.200]   status of the state.
[03:02:04.200 --> 03:02:09.100]   So, this slide in front of you provides us with the enacted
[03:02:09.100 --> 03:02:13.600]   LCFF funding factors per student grade span based on funding
[03:02:13.600 --> 03:02:18.100]   which increases by an average of $114 per grade span.
[03:02:18.100 --> 03:02:21.400]   This increase is based on the cost of living as we know
[03:02:21.400 --> 03:02:26.000]   COLA, 1.07%, and then we also receive additional grade
[03:02:26.000 --> 03:02:29.800]   span funding for students in TK through third grade
[03:02:29.800 --> 03:02:32.800]   and those in 9 through 12, as well as for students
[03:02:32.800 --> 03:02:34.500]   that are considered unduplicated.
[03:02:36.800 --> 03:02:39.400]   The next few slides I will be sharing with the board will
[03:02:39.400 --> 03:02:43.100]   provide information on how the enacted budget addresses
[03:02:43.100 --> 03:02:46.400]   the contribution maneuver discussion that was taking
[03:02:46.400 --> 03:02:48.700]   place prior to budget adoption.
[03:02:48.700 --> 03:02:52.200]   As you may recall, there was a lot of talk regarding
[03:02:52.200 --> 03:02:56.300]   Proposition 98 as Governor Newsom was providing a maneuver
[03:02:56.300 --> 03:03:00.200]   that would have had a negative impact on the future funding.
[03:03:00.200 --> 03:03:04.500]   It would have lowered the minimum guarantee if implemented
[03:03:04.500 --> 03:03:08.700]   as you see here with the blue line showing less revenue
[03:03:08.700 --> 03:03:13.500]   than the guaranteed for $23.24 if the maneuver would have
[03:03:13.500 --> 03:03:15.100]   been part of this enacted budget.
[03:03:15.100 --> 03:03:18.900]   However, due to the advocacy of many stakeholders,
[03:03:18.900 --> 03:03:22.600]   a compromise was reached which included the suspension
[03:03:22.600 --> 03:03:26.100]   of Prop 98 with the repayment in future years.
[03:03:26.100 --> 03:03:31.300]   And here you're able to see some of those changes,
[03:03:31.300 --> 03:03:32.600]   those compromises there.
[03:03:33.000 --> 03:03:36.800]   The decision to set Prop 98 based at a higher level
[03:03:36.800 --> 03:03:45.600]   in 2223 increases the $23.24 guarantee to $106.8 billion.
[03:03:45.600 --> 03:03:49.600]   However, available state revenues are insufficient
[03:03:49.600 --> 03:03:52.400]   to meet this requirement in 2324.
[03:03:52.400 --> 03:03:56.800]   As a result, the state leaders decided to suspend
[03:03:56.800 --> 03:04:02.200]   Prop 98 guarantee and set the funding level at $98.5 billion
[03:04:02.500 --> 03:04:04.000]   in 2324.
[03:04:04.000 --> 03:04:07.300]   Suspending the guarantee is allowed under the state
[03:04:07.300 --> 03:04:09.700]   Constitution for the particular purpose.
[03:04:09.700 --> 03:04:14.800]   This is the third time since the enactment of Prop 98
[03:04:14.800 --> 03:04:18.400]   that the guaranteed has actually been suspended
[03:04:18.400 --> 03:04:20.200]   when it was enacted in 1988.
[03:04:20.200 --> 03:04:25.300]   The budget also includes deferrals as a way of managing
[03:04:25.300 --> 03:04:28.800]   the shortfall which basically moves funding which should
[03:04:28.800 --> 03:04:33.100]   have been received this June of 2024 to July of 2024
[03:04:33.100 --> 03:04:36.000]   and it will be the same for next year in 2025.
[03:04:36.000 --> 03:04:40.300]   As noted here, districts and charters may be exempt
[03:04:40.300 --> 03:04:43.600]   if the deferral posed a cash flow concerned to meet
[03:04:43.600 --> 03:04:47.800]   the obligations which is why cash on hand through reserves
[03:04:47.800 --> 03:04:49.300]   is important for districts.
[03:04:49.300 --> 03:04:53.700]   OUSD will be able to meet its obligations despite
[03:04:53.700 --> 03:04:54.600]   these deferrals.
[03:04:56.400 --> 03:05:00.000]   And then finally, in addition to the suspension of Prop 98
[03:05:00.000 --> 03:05:04.200]   deferrals and other adjustments, there is a requirement
[03:05:04.200 --> 03:05:07.500]   to address the shortfall through withdrawals and this
[03:05:07.500 --> 03:05:12.300]   is triggered by the Prop 98 minimum guarantee in 2324.
[03:05:12.300 --> 03:05:15.700]   As required by the state Constitution, the governor
[03:05:15.700 --> 03:05:19.600]   signed a proclamation on June 26 declaring a budget
[03:05:19.600 --> 03:05:23.100]   emergency in order to allow the withdrawal from the budget
[03:05:23.100 --> 03:05:27.200]   stabilization account which we know as the rainy day account.
[03:05:27.200 --> 03:05:30.500]   So while all of these adjustments were made to present
[03:05:30.500 --> 03:05:34.600]   a favorable outcome for education, it is still important
[03:05:34.600 --> 03:05:36.300]   that we continue to monitor.
[03:05:36.300 --> 03:05:41.400]   Moving on over the last couple of years, there has been
[03:05:41.400 --> 03:05:45.300]   a local reserve cap based on the fact that Proposition 98
[03:05:45.300 --> 03:05:50.400]   reserves was at least 3% or higher than the K-12 guarantee
[03:05:51.100 --> 03:05:52.300]   which you see here.
[03:05:52.300 --> 03:05:56.300]   The depletion though, as we just discussed and depleting
[03:05:56.300 --> 03:06:01.000]   from the rainy day there, in 2324 makes the cap on local
